state_name,political_inequality,unpaid_labour,workforce_inequality,oddhouse_index
Bihar,0.3970588235294118,1.0,1.0,0.7990196078431372
Karnataka,0.8492647058823529,0.8129324629447537,0.593987226663283,0.7520614651634632
Assam,0.7969040247678019,0.6461489898989897,0.5772871948241566,0.6734467364969827
Jharkhand,0.3970588235294118,0.5679183054736152,0.8784776518336149,0.6144849269455473
Uttar Pradesh,0.3970588235294118,0.40349417052956865,0.8501533448341959,0.5502354462977254
Punjab,0.458030403172505,0.644203201191981,0.5119660137422499,0.538066539368912
Tamil Nadu,0.7969040247678019,0.49737099184001826,0.3187853254991838,0.5376867807023347
Gujarat,0.6329923273657289,0.4163463543994517,0.5598378960500716,0.5363921926050841
Haryana,0.5176470588235293,0.45577378710851685,0.6184110690439202,0.5306106383253221
Maharashtra,0.6329923273657289,0.5087563503769256,0.40147189442964093,0.5144068573907651
Madhya Pradesh,0.5759534583063994,0.19421504679076387,0.7707029062961267,0.5136238037977633
Telangana,0.7969040247678019,0.3779295004405623,0.36133936081149176,0.5120576286732853
Odisha,0.3970588235294118,0.6666200687218384,0.3579009263639813,0.4738599395384105
Himachal,1.0,0.0,0.41895698515416824,0.47298566171805606
Delhi,0.5176470588235293,0.3699185201138172,0.49819012354223624,0.46191856749319427
Andhra Pradesh,0.5759534583063994,0.47532882453978553,0.304369862820567,0.451884048555584
Uttarakhand,0.33468559837728196,0.4102950947749642,0.5713855841558679,0.4387887591027047
West Bengal,0.27086183310533507,0.6093316740412977,0.3882243217302703,0.4228059429589677
Rajasthan,0.27086183310533507,0.2829686790900839,0.675152597687809,0.40966103662774267
Kerala,0.5759534583063994,0.5666675241819302,0.0,0.38087366082944324
Chhattisgarh,0.0,0.2858405118307914,0.455476996979821,0.24710583627020413
